k,state_i,state_j,vi,nmi,ari,q_diff,q_diff_pval
10,7,8,0.09121671666401204,0.8689960715011623,0.8163431432786729,-0.036219345886524756,1.0
10,7,9,0.2927068042759895,0.5958385919974902,0.3787651979755237,-0.057551414290568426,1.0
10,8,9,0.2540765599236773,0.666149201261951,0.4516886581426248,-0.02133206840404367,1.0
11,0,1,0.25625803727964536,0.648253878718066,0.4719839373350512,-0.01069218265552152,1.0
11,0,2,0.18886811327621658,0.7306692540120299,0.6323679357695053,0.05632945641343279,1.0
11,0,3,0.1468466218933357,0.8083192962376754,0.7175358229774284,0.005291441477103254,1.0
11,0,4,0.21934907072379872,0.7009487168881856,0.5731904508481315,-0.009829181250538666,1.0
11,0,5,0.1710233798891498,0.7541497360079019,0.6992273868015214,-0.015617325365699597,1.0
11,0,6,0.14900307187153503,0.7982026030043855,0.7101728473935376,-0.013269880207871898,1.0
11,0,7,0.22997629067414868,0.684863596696171,0.5151459810117416,0.02074976098560488,1.0
11,0,8,0.16906197532692743,0.7712280047393639,0.6682975957576627,-0.005044051696064034,1.0
11,0,9,0.1663334996792259,0.7736442679347721,0.6417945190562251,0.018755931729301456,1.0
11,0,10,0.1495187791100995,0.7816334071753354,0.6689164365567075,0.06280659818901413,1.0
11,1,2,0.24383381673177704,0.6481833726346862,0.5294900997702312,0.06702163906895431,1.0
11,1,3,0.22884877553450272,0.6980573006125499,0.539167487663305,0.015983624132624774,1.0
11,1,4,0.2082135897006934,0.7129292750876035,0.6114866968045558,0.0008630014049828549,1.0
11,1,5,0.2538904284657034,0.630684118942163,0.46201149051353846,-0.0049251427101780765,1.0
11,1,6,0.15720917211340749,0.7847041260488745,0.6537238240749063,-0.0025776975523503776,1.0
11,1,7,0.23541842486383602,0.6737497464311242,0.5789164597570851,0.0314419436411264,1.0
11,1,8,0.15054470504011372,0.7940054049259059,0.6783475308139661,0.005648130959457487,1.0
11,1,9,0.2666051088416111,0.6331054924430796,0.5063578122803511,0.029448114384822976,1.0
11,1,10,0.24703832791324865,0.6348479763761739,0.4947980390168306,0.07349878084453565,1.0
11,2,3,0.18535940507537563,0.7463053202195737,0.5806276700423539,-0.051038014936329534,1.0
11,2,4,0.20546734245565376,0.705643731111653,0.6027095221807723,-0.06615863766397145,1.0
11,2,5,0.1644808339779364,0.750854539793867,0.7049231780529757,-0.07194678177913238,1.0
11,2,6,0.20438812331694806,0.7092295101779116,0.5757611018838595,-0.06959933662130469,1.0
11,2,7,0.18947201993302723,0.727106269969501,0.6531030228991446,-0.035579695427827907,1.0
11,2,8,0.2265149227633753,0.6780341956375353,0.5436338539925445,-0.06137350810949682,1.0
11,2,9,0.22112752833771795,0.6838197838306234,0.5969143336114117,-0.03757352468413133,1.0
11,2,10,0.14907185235693335,0.7703951909375649,0.6350293891567678,0.006477141775581341,1.0
11,3,4,0.216292101850844,0.7164769576062303,0.5440122791633387,-0.01512062272764192,1.0
11,3,5,0.18943285400845455,0.7387242552905326,0.6608682416326344,-0.02090876684280285,1.0
11,3,6,0.1685361372969941,0.7804860284754174,0.6425299146204109,-0.01856132168497515,1.0
11,3,7,0.24690151212991615,0.6747690210831259,0.49293871387916105,0.015458319508501628,1.0
11,3,8,0.16985619059949542,0.7789446654000454,0.6337072796552629,-0.010335493173167287,1.0
11,3,9,0.16075924082660722,0.7896433401370146,0.6269034204515239,0.013464490252198202,1.0
11,3,10,0.11819577098535784,0.8344839293373719,0.6724878630424962,0.057515156711910875,1.0
11,4,5,0.18209764031099734,0.7370102053332129,0.6125265831171738,-0.005788144115160931,1.0
11,4,6,0.14928726559631394,0.7969301994458177,0.7388727960179033,-0.0034406989573332325,1.0
11,4,7,0.1602639473941866,0.7794149454715448,0.6691869177405935,0.030578942236143547,1.0
11,4,8,0.14077440900635257,0.8086707892280978,0.7608541860253317,0.004785129554474632,1.0
11,4,9,0.2668865460086932,0.6352041437076668,0.48448403886078834,0.02858511297984012,1.0
11,4,10,0.2431592641253189,0.6431933341152954,0.4777993487041766,0.0726357794395528,1.0
11,5,6,0.14373144855839967,0.7938771874323107,0.682454416305122,0.002347445157827699,1.0
11,5,7,0.18296475884703498,0.734332247866128,0.625911419482947,0.03636708635130448,1.0
11,5,8,0.16276231906705735,0.766792069727358,0.6442013025929593,0.010573273669635563,1.0
11,5,9,0.2149669745736008,0.6901432724139357,0.5990475745833139,0.03437325709500105,1.0
11,5,10,0.21443667930559812,0.6668400010793232,0.5716335442510518,0.07842392355471373,1.0
11,6,7,0.18099123243977192,0.7525538318378728,0.5993307479979934,0.03401964119347678,1.0
11,6,8,0.05303337430368561,0.9283978195023092,0.9195097843688209,0.008225828511807864,1.0
11,6,9,0.16107862070653592,0.7812922403699996,0.6589003357843094,0.032025811937173354,1.0
11,6,10,0.22036411350900648,0.6789491678812687,0.5149786817570381,0.07607647839688603,1.0
11,7,8,0.19651094241233255,0.731562572050375,0.6038196598142425,-0.025793812681668915,1.0
11,7,9,0.19713213801842558,0.7291729985250188,0.6967459475940293,-0.0019938292563034254,1.0
11,7,10,0.2649396415853081,0.6091019838442064,0.41125190322545574,0.04205683720340925,1.0
11,8,9,0.16581362588977452,0.7750519862911978,0.6517302683321796,0.02379998342536549,1.0
11,8,10,0.23661640591933902,0.6555812009941625,0.4860573980842387,0.06785064988507816,1.0
11,9,10,0.20951867957726808,0.6931642527362407,0.4778113698244011,0.04405066645971267,1.0
12,0,1,0.24749334474591064,0.6713227265106828,0.4732760186257964,-0.02203423754892231,1.0
12,0,2,0.18909281449262713,0.7377738731396263,0.6221292015918435,-0.05255506205924887,1.0
12,0,3,0.2255086739845385,0.687775807615613,0.5750707858566567,-0.038075901925556876,1.0
12,0,4,0.22092220272325994,0.7049018874449722,0.5602699646483441,-0.030523149556634044,1.0
12,0,5,0.20969130525327404,0.6930576059797956,0.5480201537239424,-0.009281028118896528,1.0
12,0,6,0.23059185990282718,0.6791967914981989,0.5105564940356653,-0.000544352524665781,1.0
12,0,7,0.23715799008530228,0.669429990263088,0.5001319635178902,-0.051934900819372576,1.0
12,0,8,0.17749027612406895,0.7632322358154822,0.6479391412136989,-0.03832769250006807,1.0
12,0,9,0.25918481447141434,0.6576282807756293,0.46457135496759766,-0.03296663176264636,1.0
12,0,10,0.17207721677548232,0.7483817018780373,0.5959121219319415,-0.02352471031341763,1.0
12,0,11,0.21685181062738124,0.6997471843477487,0.559441142698455,-0.03456422091405853,1.0
12,1,2,0.23091035197902177,0.7003896457303992,0.5325404013270767,-0.03052082451032656,1.0
12,1,3,0.28794441768067286,0.6269480590038502,0.4506600912149597,-0.016041664376634568,1.0
12,1,4,0.20177640484432424,0.7472221455295368,0.6345760221607127,-0.008488912007711735,1.0
12,1,5,0.23560427242139154,0.6784691935309608,0.517708248150947,0.01275320943002578,1.0
12,1,6,0.18610737065446098,0.7577961978813307,0.6076480814195949,0.021489885024256528,1.0
12,1,7,0.19414269991229413,0.7468862583129038,0.6163441485870896,-0.029900663270450267,1.0
12,1,8,0.23110952752797284,0.7108365550195447,0.5210111224835615,-0.016293454951145758,1.0
12,1,9,0.1967369224951353,0.7560982832732708,0.6655450143838754,-0.01093239421372405,1.0
12,1,10,0.19139559685713065,0.739057557864957,0.5918873669466266,-0.0014904727644953208,1.0
12,1,11,0.21749789688027588,0.7182038168522965,0.5791148133198843,-0.012529983365136221,1.0
12,2,3,0.13489801438079804,0.8176978343705921,0.7723455928274527,0.014479160133691993,1.0
12,2,4,0.18134383133839277,0.7633649649331951,0.6653698013341672,0.022031912502614825,1.0
12,2,5,0.15929031377429517,0.772723545654228,0.6873073526092336,0.04327403394035234,1.0
12,2,6,0.204433183958614,0.7224259012915881,0.591791271933532,0.05201070953458309,1.0
12,2,7,0.2028599388240421,0.7240472025725792,0.5838911043958614,0.0006201612398762935,1.0
12,2,8,0.057842538468519375,0.9246196913328447,0.881658523296716,0.014227369559180802,1.0
12,2,9,0.16437563872158267,0.7878289364220132,0.6493175988429687,0.01958843029660251,1.0
12,2,10,0.18660222815868494,0.7340280417896545,0.6423622760321233,0.02903035174583124,1.0
12,2,11,0.1399998463171608,0.8107943635748965,0.7269277363272454,0.01799084114519034,1.0
12,3,4,0.21839092203960367,0.7154527742559411,0.5958446461595078,0.007552752368922833,1.0
12,3,5,0.2629173894377953,0.6254872354657243,0.5240324211651574,0.028794873806660348,1.0
12,3,6,0.2125149912320227,0.7119061070028883,0.6183666127226757,0.037531549400891095,1.0
12,3,7,0.24688621954539133,0.6646865146967523,0.5620032099317414,-0.0138589988938157,1.0
12,3,8,0.13615382648681354,0.8228322014166928,0.7886536664687265,-0.00025179057451119036,1.0
12,3,9,0.20202078131411488,0.7396273490447206,0.5998005007948584,0.0051092701629105175,1.0
12,3,10,0.2552564864778361,0.6367724478144154,0.5200529914771257,0.014551191612139247,1.0
