k,state,module_id,module_size,module_Q,module_pvalue,fdr_bh_pval_0.05,fdr_bh_sig_0.05,fdr_bh_pval_0.01,fdr_bh_sig_0.01,fdr_bh_pval_0.001,fdr_bh_sig_0.001,bonf_pval_0.05,bonf_sig_0.05,roi_examples
9,5,4,17,0.11245424018189232,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.06930693069306931,False,Au1_left; AuV_left; Cerebellum_right; DLEnt_right; Ect_right
9,5,5,24,0.11859397432624853,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.06930693069306931,False,AUD_left; Hipp_CA1_A_left; Hipp_CA2_left; Hipp_CA3_A_left; Hipp_CA3_P_left
9,5,6,15,0.060671983872577405,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.06930693069306931,False,Brainstem_left; Cent_Gray_left; Cerebellum_left; DLEnt_left; Ect_left
9,5,7,15,0.0777217460130446,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.06930693069306931,False,Cg_left; M1_left; M2_left; PrL_left; S1DZ_left
9,6,1,25,0.11361419242655994,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,Acumbens_left; AIP_left; AIV_left; Amygdala_left; GIDI_left
9,6,2,18,0.12585349238791207,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,AID_left; DI_left; Fr3_left; GI_left; S1BF_left
9,6,3,26,0.15047361084003827,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,Au1_left; AUD_left; AuV_left; Hipp_CA1_A_left; Hipp_CA2_left
9,6,4,9,0.0437093036480886,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,Brainstem_left; Cerebellum_left; DLEnt_left; Ect_left; Hipp_Sub_P_left
9,6,5,20,0.13179915859201288,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,Cent_Gray_left; Inferior_Colliculus_left; Superior_Colliculus_left; Central_Gray_right; Cerebellum_right
9,6,6,16,0.08455280472717838,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,Cg_left; IL_left; M1_left; M2_left; PrL_left
9,7,1,30,0.1465840040951229,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,Acumbens_left; AIP_left; AIV_left; Amygdala_left; GIDI_left
