k,state,Q_total,Q_pvalue,Q_z_score,n_modules,n_sig_uncorrected,n_sig_fdr_0.05,n_sig_fdr_0.01,n_sig_fdr_0.001,n_sig_bonferroni_0.05
8,3,0.6359964081972026,0.009900990099009901,41.7195899583496,6,6,6,6,0,0
8,4,0.645546400052106,0.009900990099009901,47.303087854935335,6,6,6,6,0,0
8,5,0.6268136693194124,0.009900990099009901,42.27096425484735,6,6,6,6,0,0
8,6,0.6578522643294943,0.009900990099009901,35.65167804313183,6,6,6,6,0,0
8,7,0.6280924975191973,0.009900990099009901,43.144674534302276,6,6,6,6,0,0
9,0,0.6101071637102409,0.009900990099009901,42.27481427702874,6,6,6,6,0,0
9,1,0.6315966800468609,0.009900990099009901,46.225325039313475,6,6,6,6,0,0
9,2,0.6196175254703504,0.009900990099009901,38.84466621644524,5,5,5,5,0,5
9,3,0.6416360538917837,0.009900990099009901,48.334079273413245,6,6,6,6,0,0
9,4,0.6063437928681082,0.009900990099009901,40.358867605984116,5,5,5,5,0,5
9,5,0.5882916331323346,0.009900990099009901,50.965091142627735,7,7,7,7,0,0
9,6,0.6500025626217902,0.009900990099009901,41.6736506403578,6,6,6,6,0,0
9,7,0.6540597181609411,0.009900990099009901,39.59720499599984,6,6,6,6,0,0
9,8,0.6703134797613528,0.009900990099009901,36.62764554378079,7,7,7,7,0,0
10,0,0.6559556695081583,0.009900990099009901,40.82666068337881,6,6,6,6,0,0
10,1,0.6016250676395827,0.009900990099009901,36.34728483480089,6,6,6,6,0,0
10,2,0.6281810460399393,0.009900990099009901,37.925052525753706,5,5,5,5,0,5
10,3,0.6424942899962232,0.009900990099009901,49.35930331453058,6,6,6,6,0,0
10,4,0.6550717326144172,0.009900990099009901,47.25979040556507,6,6,6,6,0,0
10,5,0.637208168941821,0.009900990099009901,32.0118421717947,5,5,5,5,0,5
10,6,0.5975989180334212,0.009900990099009901,38.1209580786999,5,5,5,5,0,5
10,7,0.6165417621262592,0.009900990099009901,37.548137109762564,5,5,5,5,0,5
10,8,0.652761108012784,0.009900990099009901,39.68728442210502,6,6,6,6,0,0
10,9,0.6740931764168276,0.009900990099009901,45.24905727087639,7,7,7,7,0,0
11,0,0.6391662987854009,0.009900990099009901,43.74718555077042,6,6,6,6,0,0
11,1,0.6498584814409224,0.009900990099009901,40.46218671568003,6,6,6,6,0,0
11,2,0.5828368423719681,0.009900990099009901,43.23227227257168,5,5,5,5,0,5
11,3,0.6338748573082976,0.009900990099009901,45.83059092155705,7,7,7,7,0,0
11,4,0.6489954800359395,0.009900990099009901,45.166579968492414,6,6,6,6,0,0
11,5,0.6547836241511005,0.009900990099009901,35.99750366139889,5,5,5,5,0,5
11,6,0.6524361789932728,0.009900990099009901,40.76993516722817,6,6,6,6,0,0
11,7,0.618416537799796,0.009900990099009901,36.555025526997476,6,6,6,6,0,0
11,8,0.6442103504814649,0.009900990099009901,36.801274946014466,6,6,6,6,0,0
11,9,0.6204103670560994,0.009900990099009901,43.34321020587045,6,6,6,6,0,0
11,10,0.5763597005963867,0.009900990099009901,40.72781032534604,5,5,5,5,0,5
